2018-11-16 18:56:22,208 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:56:22.203001'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:56:22.203001')
2018-11-16 18:56:22,211 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:56:22,214 DEBUG (0.001) INSERT INTO `users` (`username`, `gender`, `id_card`, `age`, `address`, `remark`, `create_time`, `update_time`) VALUES ('xiaohua', 1, '100104', 24, 'bj', 'beijing', '2018-11-16 10:56:22.213399', '2018-11-16 10:56:22.213461'); args=['xiaohua', 1, '100104', 24, 'bj', 'beijing', '2018-11-16 10:56:22.213399', '2018-11-16 10:56:22.213461']
2018-11-16 18:56:22,296 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:56:22,297 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 18:56:22,300 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:56:22.294292'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:56:22.294292')
2018-11-16 18:56:22,302 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:56:22,304 DEBUG (0.001) SELECT `users`.`id`, `users`.`username`, `users`.`gender`, `users`.`id_card`, `users`.`age`, `users`.`address`, `users`.`remark`, `users`.`create_time`, `users`.`update_time` FROM `users`; args=()
2018-11-16 18:56:37,260 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:56:37,261 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 18:56:37,263 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:56:37.258112'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:56:37.258112')
2018-11-16 18:56:37,266 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:56:37,269 DEBUG (0.001) INSERT INTO `users` (`username`, `gender`, `id_card`, `age`, `address`, `remark`, `create_time`, `update_time`) VALUES ('xiaojiao', 1, '100106', 26, 'sh', 'shanghai', '2018-11-16 10:56:37.268349', '2018-11-16 10:56:37.268412'); args=['xiaojiao', 1, '100106', 26, 'sh', 'shanghai', '2018-11-16 10:56:37.268349', '2018-11-16 10:56:37.268412']
2018-11-16 18:56:37,292 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:56:37,293 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 18:56:37,295 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:56:37.289816'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:56:37.289816')
2018-11-16 18:56:37,298 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:56:37,300 DEBUG (0.001) SELECT `users`.`id`, `users`.`username`, `users`.`gender`, `users`.`id_card`, `users`.`age`, `users`.`address`, `users`.`remark`, `users`.`create_time`, `users`.`update_time` FROM `users`; args=()
